Barcode	SampleName	ASO	Dose	Experiment	Plate	total	dIRE1	Other_dIRE	IRE	dIRE1_altTSS	dIRE2	ire_ov_total	dire1_ov_total	treatment
BC47	PBS_200nm_2	PBS	200	TT19	1	4226	1235	486	1843	136	526	0.43610979649787	0.292238523426408	PBS
BC49	EX-00001_20nm_2	EX-00001	20	TT19	1	844	274	78	379	25	88	0.449052132701422	0.324644549763033	EX-00001
BC55	PBS_20nm_2	PBS	20	TT19	1	5191	1722	346	2355	126	642	0.453669813138124	0.331727990753227	PBS
BC57	EX-00001_2nm_2	EX-00001	2	TT19	1	1013	321	85	458	25	124	0.452122408687068	0.316880552813425	EX-00001
BC63	PBS_2nm_2	PBS	2	TT19	1	1186	386	107	534	38	121	0.450252951096121	0.325463743676223	PBS
BC65	PBS_2000nm_3	PBS	2000	TT19	1	871	268	70	395	29	109	0.453501722158439	0.307692307692308	PBS
BC73	PBS_200nm_3	PBS	200	TT19	1	2740	809	243	1258	102	328	0.459124087591241	0.295255474452555	PBS
BC81	PBS_20nm_3	PBS	20	TT19	1	8837	2760	815	3922	280	1060	0.443815774584135	0.312323186601788	PBS
BC89	PBS_2nm_3	PBS	2	TT19	1	1112	368	106	451	33	154	0.405575539568345	0.330935251798561	PBS
BC01	PBS_2000nm	PBS	2000	TT19	2	4184	1278	370	1929	146	461	0.46104206500956	0.305449330783939	PBS
BC08	EX-00001_2000nm	EX-00001	2000	TT19	2	611	255	30	249	24	53	0.407528641571195	0.417348608837971	EX-00001
BC09	PBS_200nm	PBS	200	TT19	2	1719	576	111	772	57	203	0.449098312972659	0.335078534031414	PBS
BC16	EX-00001_200nm	EX-00001	200	TT19	2	1106	359	110	464	41	132	0.419529837251356	0.324593128390597	EX-00001
BC17	PBS_20nm	PBS	20	TT19	2	2122	704	156	951	73	238	0.448162111215834	0.331762488218662	PBS
BC24	EX-00001_20nm	EX-00001	20	TT19	2	1375	467	111	596	41	160	0.433454545454545	0.339636363636364	EX-00001
BC25	PBS_2nm	PBS	2	TT19	2	2586	792	221	1207	73	293	0.466744006187162	0.306264501160093	PBS
BC32	EX-00001_2nm	EX-00001	2	TT19	2	3420	1081	357	1458	111	413	0.426315789473684	0.316081871345029	EX-00001
BC33	EX-00001_2000nm	EX-00001	2000	TT19	2	1945	588	220	890	58	189	0.457583547557841	0.302313624678663	EX-00001
BC39	PBS_2000nm	PBS	2000	TT19	2	1131	345	111	504	34	137	0.445623342175066	0.305039787798409	PBS
BC41	EX-00001_200nm	EX-00001	200	TT19	2	1174	391	104	541	33	105	0.460817717206133	0.333049403747871	EX-00001
BC47	PBS_200nm	PBS	200	TT19	2	586	155	81	273	18	59	0.465870307167235	0.264505119453925	PBS
