Barcode	SampleName	ASO	Dose	Experiment	Plate	total	dIRE1	Other_dIRE	IRE	dIRE1_altTSS	dIRE2	ire_ov_total	dire1_ov_total	treatment
BC39	PBS_2000nm	PBS	2000	TT26	megan	277	90	29	117	9	32	0.422382671480144	0.324909747292419	PBS
BC45	CR4154_200nm	CR4154	200	TT26	megan	138	29	17	65	1	26	0.471014492753623	0.210144927536232	4154
BC47	PBS_200nm	PBS	200	TT26	megan	377	125	45	149	8	50	0.395225464190981	0.331564986737401	PBS
BC53	CR4154_20nm	CR4154	20	TT26	megan	110	33	20	45	2	10	0.409090909090909	0.3	4154
BC55	PBS_20nm	PBS	20	TT26	megan	222	62	32	96	9	23	0.432432432432432	0.279279279279279	PBS
BC61	CR4154_2nm	CR4154	2	TT26	megan	630	203	66	266	26	69	0.422222222222222	0.322222222222222	4154
BC63	PBS_2nm	PBS	2	TT26	megan	214	76	23	91	8	16	0.425233644859813	0.355140186915888	PBS
BC09	PBS_200nm	PBS	200	TT26	sara	222	34	21	133	4	30	0.599099099099099	0.153153153153153	PBS
BC11	CR4154_200nm	CR4154	200	TT26	sara	214	49	29	102	5	29	0.476635514018692	0.228971962616822	4154
BC17	PBS_20nm	PBS	20	TT26	sara	859	292	67	367	31	102	0.427240977881257	0.339930151338766	PBS
BC19	CR4154_20nm	CR4154	20	TT26	sara	434	100	47	222	19	46	0.511520737327189	0.230414746543779	4154
BC25	PBS_2nm	PBS	2	TT26	sara	383	127	27	174	7	48	0.454308093994778	0.331592689295039	PBS
BC27	CR4154_2nm	CR4154	2	TT26	sara	116	32	14	55	5	10	0.474137931034483	0.275862068965517	4154
BC37	CR4154_2000nm	CR4154	2000	TT26	sara	206	33	18	121	8	26	0.587378640776699	0.160194174757282	4154
BC39	PBS_2000nm	PBS	2000	TT26	sara	176	57	20	76	3	20	0.431818181818182	0.323863636363636	PBS
BC41	EX-00001_200nm	EX-00001	200	TT26	sara	143	14	34	71	3	21	0.496503496503497	0.0979020979020979	EX-00001
BC45	CR4154_200nm	CR4154	200	TT26	sara	343	73	29	185	8	48	0.53935860058309	0.212827988338192	4154
BC47	PBS_200nm	PBS	200	TT26	sara	283	100	27	118	9	29	0.416961130742049	0.353356890459364	PBS
BC49	EX-00001_20nm	EX-00001	20	TT26	sara	302	89	35	128	8	42	0.423841059602649	0.294701986754967	EX-00001
BC53	CR4154_20nm	CR4154	20	TT26	sara	449	141	39	208	13	48	0.463251670378619	0.314031180400891	4154
BC57	EX-00001_2nm	EX-00001	2	TT26	sara	101	35	11	43	2	10	0.425742574257426	0.346534653465347	EX-00001
BC61	CR4154_2nm	CR4154	2	TT26	sara	451	144	44	200	17	46	0.443458980044346	0.319290465631929	4154
BC09	PBS_200nm	PBS	200	TT27	sara	443	116	58	192	9	68	0.433408577878104	0.261851015801354	PBS
BC25	PBS_2nm	PBS	2	TT27	sara	181	40	15	109	3	14	0.602209944751381	0.220994475138122	PBS
BC33	EX-00001_2000nm	EX-00001	2000	TT27	sara	141	39	18	62	7	15	0.439716312056738	0.276595744680851	EX-00001
BC41	EX-00001_200nm	EX-00001	200	TT27	sara	115	35	18	42	4	16	0.365217391304348	0.304347826086957	EX-00001
BC55	PBS_20nm	PBS	20	TT27	sara	217	48	30	96	6	37	0.442396313364055	0.221198156682028	PBS
BC81	PBS_20nm	PBS	20	TT27	sara	129	35	22	54	2	16	0.418604651162791	0.271317829457364	PBS
BC09	PBS_200nm	PBS	200	TT28	sara	177	42	21	95	4	15	0.536723163841808	0.23728813559322	PBS
BC47	PBS_200nm	PBS	200	TT28	sara	195	57	25	81	5	27	0.415384615384615	0.292307692307692	PBS
BC55	PBS_20nm	PBS	20	TT28	sara	155	43	9	81	2	20	0.52258064516129	0.27741935483871	PBS
BC76	CR4174_200nm	CR4174	200	TT28	sara	385	49	44	239	5	48	0.620779220779221	0.127272727272727	4174
BC81	PBS_20nm	PBS	20	TT28	sara	484	101	44	277	12	50	0.572314049586777	0.208677685950413	PBS
BC84	CR4174_20nm	CR4174	20	TT28	sara	108	25	15	51	3	14	0.472222222222222	0.231481481481481	4174
BC01	PBS_2000nm	PBS	2000	TT28	megan	2812	991	235	1137	102	347	0.404338549075391	0.352418207681366	PBS
BC07	CR4174_2000nm	CR4174	2000	TT28	megan	666	96	43	410	10	107	0.615615615615616	0.144144144144144	4174
BC08	EX-00001_2000nm	EX-00001	2000	TT28	megan	127	45	15	54	4	9	0.425196850393701	0.354330708661417	EX-00001
BC09	PBS_200nm	PBS	200	TT28	megan	174	44	26	80	6	18	0.459770114942529	0.252873563218391	PBS
BC15	CR4174_200nm	CR4174	200	TT28	megan	490	77	49	269	6	89	0.548979591836735	0.157142857142857	4174
BC16	EX-00001_200nm	EX-00001	200	TT28	megan	333	104	38	142	5	44	0.426426426426426	0.312312312312312	EX-00001
BC17	PBS_20nm	PBS	20	TT28	megan	312	107	29	116	11	49	0.371794871794872	0.342948717948718	PBS
BC23	CR4174_20nm	CR4174	20	TT28	megan	1136	249	142	555	25	165	0.488556338028169	0.21919014084507	4174
BC24	EX-00001_20nm	EX-00001	20	TT28	megan	152	47	14	75	4	12	0.493421052631579	0.309210526315789	EX-00001
BC25	PBS_2nm	PBS	2	TT28	megan	393	107	23	201	10	52	0.511450381679389	0.272264631043257	PBS
BC31	CR4174_2nm	CR4174	2	TT28	megan	127	37	13	60	5	12	0.47244094488189	0.291338582677165	4174
BC32	EX-00001_2nm	EX-00001	2	TT28	megan	178	41	21	88	4	24	0.49438202247191	0.230337078651685	EX-00001
BC33	EX-00001_2000nm	EX-00001	2000	TT28	megan	192	55	22	82	6	27	0.427083333333333	0.286458333333333	EX-00001
BC39	CR4174_2000nm	CR4174	2000	TT28	megan	1087	343	92	482	29	141	0.443422263109476	0.315547378104876	4174
BC47	PBS_200nm	PBS	200	TT28	megan	121	37	21	46	2	15	0.380165289256198	0.305785123966942	PBS
BC49	EX-00001_20nm	EX-00001	20	TT28	megan	131	34	16	58	4	19	0.442748091603053	0.259541984732824	EX-00001
BC55	PBS_20nm	PBS	20	TT28	megan	401	115	45	184	9	48	0.458852867830424	0.286783042394015	PBS
BC65	PBS_2000nm	PBS	2000	TT28	megan	127	40	11	51	3	22	0.401574803149606	0.31496062992126	PBS
BC73	PBS_200nm	PBS	200	TT28	megan	413	136	40	171	10	56	0.414043583535109	0.329297820823245	PBS
BC76	CR4174_200nm	CR4174	200	TT28	megan	250	44	38	113	5	50	0.452	0.176	4174
BC81	PBS_20nm	PBS	20	TT28	megan	1619	482	160	752	56	169	0.464484249536751	0.297714638665843	PBS
BC84	CR4174_20nm	CR4174	20	TT28	megan	116	26	14	56	5	15	0.482758620689655	0.224137931034483	4174
BC89	PBS_2nm	PBS	2	TT28	megan	102	33	10	39	3	17	0.382352941176471	0.323529411764706	PBS
BC01	PBS_2000nm	PBS	2000	TT29	megan	1818	630	173	736	64	215	0.404840484048405	0.346534653465347	PBS
BC09	PBS_200nm	PBS	200	TT29	megan	1092	396	109	409	43	135	0.374542124542125	0.362637362637363	PBS
BC16	EX-00001_200nm	EX-00001	200	TT29	megan	1320	406	174	524	58	158	0.396969696969697	0.307575757575758	EX-00001
BC17	PBS_20nm	PBS	20	TT29	megan	391	128	40	165	6	52	0.421994884910486	0.327365728900256	PBS
BC24	EX-00001_20nm	EX-00001	20	TT29	megan	506	188	44	192	25	57	0.379446640316206	0.371541501976285	EX-00001
BC25	PBS_2nm	PBS	2	TT29	megan	917	267	73	418	32	127	0.455834242093784	0.291166848418757	PBS
BC32	EX-00001_2nm	EX-00001	2	TT29	megan	744	257	74	286	32	95	0.384408602150538	0.345430107526882	EX-00001
BC33	EX-00001_2000nm	EX-00001	2000	TT29	megan	628	216	62	262	28	60	0.417197452229299	0.343949044585987	EX-00001
BC39	PBS_2000nm	PBS	2000	TT29	megan	2636	896	248	1067	99	326	0.404779969650986	0.339908952959029	PBS
BC41	EX-00001_200nm	EX-00001	200	TT29	megan	544	202	34	202	31	75	0.371323529411765	0.371323529411765	EX-00001
BC47	PBS_200nm	PBS	200	TT29	megan	1487	484	142	585	96	180	0.393409549428379	0.325487558843309	PBS
BC49	EX-00001_20nm	EX-00001	20	TT29	megan	428	145	32	164	19	68	0.383177570093458	0.338785046728972	EX-00001
BC55	PBS_20nm	PBS	20	TT29	megan	959	341	108	374	32	104	0.389989572471324	0.355578727841502	PBS
BC57	EX-00001_2nm	EX-00001	2	TT29	megan	438	157	25	195	16	45	0.445205479452055	0.358447488584475	EX-00001
BC63	PBS_2nm	PBS	2	TT29	megan	475	168	54	183	24	46	0.385263157894737	0.353684210526316	PBS
BC65	PBS_2000nm	PBS	2000	TT29	megan	293	97	26	124	15	31	0.42320819112628	0.331058020477816	PBS
BC73	PBS_200nm	PBS	200	TT29	megan	1504	513	102	622	53	214	0.413563829787234	0.341090425531915	PBS
BC81	PBS_20nm	PBS	20	TT29	megan	5127	1679	504	2076	206	662	0.404915155061439	0.327481958260191	PBS
BC89	PBS_2nm	PBS	2	TT29	megan	299	118	22	100	12	47	0.334448160535117	0.394648829431438	PBS
BC01	PBS_2000nm	PBS	2000	TT29	sara	1145	330	166	460	43	146	0.40174672489083	0.2882096069869	PBS
BC09	PBS_200nm	PBS	200	TT29	sara	580	161	88	230	29	72	0.396551724137931	0.277586206896552	PBS
BC16	EX-00001_200nm	EX-00001	200	TT29	sara	669	210	106	259	26	68	0.387144992526158	0.31390134529148	EX-00001
BC17	PBS_20nm	PBS	20	TT29	sara	499	161	62	216	15	45	0.432865731462926	0.322645290581162	PBS
BC24	EX-00001_20nm	EX-00001	20	TT29	sara	392	121	51	158	20	42	0.403061224489796	0.308673469387755	EX-00001
BC25	PBS_2nm	PBS	2	TT29	sara	881	230	103	391	35	122	0.443813847900114	0.261066969353008	PBS
BC33	EX-00001_2000nm	EX-00001	2000	TT29	sara	591	208	71	235	18	59	0.397631133671743	0.351945854483926	EX-00001
BC39	PBS_2000nm	PBS	2000	TT29	sara	367	90	89	130	23	35	0.354223433242507	0.245231607629428	PBS
BC41	EX-00001_200nm	EX-00001	200	TT29	sara	207	51	42	81	11	22	0.391304347826087	0.246376811594203	EX-00001
BC47	PBS_200nm	PBS	200	TT29	sara	869	258	145	330	31	105	0.379746835443038	0.296892980437284	PBS
BC49	EX-00001_20nm	EX-00001	20	TT29	sara	544	208	75	185	15	61	0.340073529411765	0.382352941176471	EX-00001
BC55	PBS_20nm	PBS	20	TT29	sara	907	286	118	363	27	113	0.400220507166483	0.315325248070562	PBS
BC57	EX-00001_2nm	EX-00001	2	TT29	sara	354	121	43	127	17	46	0.358757062146893	0.34180790960452	EX-00001
BC63	PBS_2nm	PBS	2	TT29	sara	163	43	26	71	5	18	0.43558282208589	0.263803680981595	PBS
BC65	PBS_2000nm	PBS	2000	TT29	sara	286	91	36	110	11	38	0.384615384615385	0.318181818181818	PBS
BC73	PBS_200nm	PBS	200	TT29	sara	1310	461	134	492	62	161	0.375572519083969	0.351908396946565	PBS
BC81	PBS_20nm	PBS	20	TT29	sara	6232	1870	806	2519	277	760	0.404204107830552	0.300064184852375	PBS
BC89	PBS_2nm	PBS	2	TT29	sara	693	231	79	270	28	85	0.38961038961039	0.333333333333333	PBS
BC01	PBS_2000nm	PBS	2000	TT30	1	550	171	100	186	25	68	0.338181818181818	0.310909090909091	PBS
BC09	PBS_200nm	PBS	200	TT30	1	235	57	47	89	12	30	0.378723404255319	0.242553191489362	PBS
BC16	EX-00001_200nm	EX-00001	200	TT30	1	287	73	63	112	14	25	0.390243902439024	0.254355400696864	EX-00001
BC17	PBS_20nm	PBS	20	TT30	1	169	62	20	57	4	26	0.337278106508876	0.366863905325444	PBS
BC24	EX-00001_20nm	EX-00001	20	TT30	1	117	29	27	41	8	12	0.35042735042735	0.247863247863248	EX-00001
BC25	PBS_2nm	PBS	2	TT30	1	414	79	108	148	24	55	0.357487922705314	0.190821256038647	PBS
BC32	EX-00001_2nm	EX-00001	2	TT30	1	169	34	29	77	9	20	0.455621301775148	0.201183431952663	EX-00001
BC33	EX-00001_2000nm	EX-00001	2000	TT30	1	156	32	28	60	11	25	0.384615384615385	0.205128205128205	EX-00001
BC39	PBS_2000nm	PBS	2000	TT30	1	431	108	87	169	20	47	0.392111368909513	0.250580046403712	PBS
BC41	EX-00001_200nm	EX-00001	200	TT30	1	121	27	32	44	6	12	0.363636363636364	0.223140495867769	EX-00001
BC47	PBS_200nm	PBS	200	TT30	1	281	63	62	100	16	40	0.355871886120996	0.224199288256228	PBS
BC49	EX-00001_20nm	EX-00001	20	TT30	1	110	26	31	34	5	14	0.309090909090909	0.236363636363636	EX-00001
BC55	PBS_20nm	PBS	20	TT30	1	131	22	43	43	9	14	0.32824427480916	0.16793893129771	PBS
BC63	PBS_2nm	PBS	2	TT30	1	102	25	19	37	4	17	0.362745098039216	0.245098039215686	PBS
BC73	PBS_200nm	PBS	200	TT30	1	250	80	42	98	9	21	0.392	0.32	PBS
BC81	PBS_20nm	PBS	20	TT30	1	1722	434	357	649	82	200	0.376887340301974	0.252032520325203	PBS
BC89	PBS_2nm	PBS	2	TT30	1	107	30	32	34	3	8	0.317757009345794	0.280373831775701	PBS
BC01	PBS_2000nm	PBS	2000	TT30	2	1087	403	113	394	36	141	0.362465501379945	0.370745170193192	PBS
BC09	PBS_200nm	PBS	200	TT30	2	406	163	41	139	16	47	0.342364532019704	0.401477832512315	PBS
BC16	EX-00001_200nm	EX-00001	200	TT30	2	721	266	77	280	19	79	0.388349514563107	0.368932038834951	EX-00001
BC17	PBS_20nm	PBS	20	TT30	2	201	69	26	74	5	27	0.368159203980099	0.343283582089552	PBS
BC24	EX-00001_20nm	EX-00001	20	TT30	2	265	85	31	101	13	35	0.381132075471698	0.320754716981132	EX-00001
BC25	PBS_2nm	PBS	2	TT30	2	339	121	36	129	10	43	0.380530973451327	0.35693215339233	PBS
BC32	EX-00001_2nm	EX-00001	2	TT30	2	356	116	44	143	13	40	0.401685393258427	0.325842696629214	EX-00001
BC33	EX-00001_2000nm	EX-00001	2000	TT30	2	330	108	36	131	11	44	0.396969696969697	0.327272727272727	EX-00001
BC39	PBS_2000nm	PBS	2000	TT30	2	814	291	98	294	25	106	0.361179361179361	0.357493857493857	PBS
BC41	EX-00001_200nm	EX-00001	200	TT30	2	140	45	16	57	5	17	0.407142857142857	0.321428571428571	EX-00001
BC47	PBS_200nm	PBS	200	TT30	2	356	116	43	119	15	63	0.334269662921348	0.325842696629214	PBS
BC49	EX-00001_20nm	EX-00001	20	TT30	2	194	75	19	75	8	17	0.38659793814433	0.38659793814433	EX-00001
BC55	PBS_20nm	PBS	20	TT30	2	448	166	48	162	12	60	0.361607142857143	0.370535714285714	PBS
BC63	PBS_2nm	PBS	2	TT30	2	106	31	17	43	1	14	0.405660377358491	0.292452830188679	PBS
BC65	PBS_2000nm	PBS	2000	TT30	2	152	53	19	49	5	26	0.322368421052632	0.348684210526316	PBS
BC73	PBS_200nm	PBS	200	TT30	2	553	208	57	206	8	74	0.37251356238698	0.376130198915009	PBS
BC81	PBS_20nm	PBS	20	TT30	2	3260	1063	356	1232	100	509	0.377914110429448	0.326073619631902	PBS
BC89	PBS_2nm	PBS	2	TT30	2	180	68	16	61	7	28	0.338888888888889	0.377777777777778	PBS
BC01	PBS_2000nm	PBS	2000	TT31	1	1780	563	213	716	50	238	0.402247191011236	0.316292134831461	PBS
BC03	CR4148_2000nm	CR4148	2000	TT31	1	236	58	43	101	6	28	0.427966101694915	0.245762711864407	4148
BC05	CR4150_2000nm	CR4150	2000	TT31	1	810	147	109	410	21	123	0.506172839506173	0.181481481481481	4150
BC06	CR4151_2000nm	CR4151	2000	TT31	1	201	27	27	112	4	31	0.557213930348259	0.134328358208955	4151
BC07	CR4152_2000nm	CR4152	2000	TT31	1	206	32	39	93	4	38	0.451456310679612	0.155339805825243	4152
BC09	PBS_200nm	PBS	200	TT31	1	638	183	108	245	27	75	0.384012539184953	0.286833855799373	PBS
BC11	CR4148_200nm	CR4148	200	TT31	1	703	207	77	293	20	106	0.41678520625889	0.294452347083926	4148
BC13	CR4150_200nm	CR4150	200	TT31	1	1845	461	258	792	39	295	0.429268292682927	0.249864498644986	4150
BC14	CR4151_200nm	CR4151	200	TT31	1	1030	233	151	449	33	164	0.435922330097087	0.22621359223301	4151
BC15	CR4152_200nm	CR4152	200	TT31	1	556	135	74	254	12	81	0.456834532374101	0.242805755395683	4152
BC16	EX-00001_200nm	EX-00001	200	TT31	1	538	164	97	209	15	53	0.388475836431227	0.304832713754647	EX-00001
BC17	PBS_20nm	PBS	20	TT31	1	437	143	49	184	11	50	0.421052631578947	0.327231121281465	PBS
BC19	CR4148_20nm	CR4148	20	TT31	1	629	173	97	252	25	82	0.400635930047695	0.275039745627981	4148
BC21	CR4150_20nm	CR4150	20	TT31	1	408	121	66	146	12	63	0.357843137254902	0.29656862745098	4150
BC22	CR4151_20nm	CR4151	20	TT31	1	506	155	80	196	15	60	0.387351778656126	0.306324110671937	4151
BC23	CR4152_20nm	CR4152	20	TT31	1	2279	700	294	897	59	329	0.393593681439228	0.307152259763054	4152
BC24	EX-00001_20nm	EX-00001	20	TT31	1	322	111	50	111	15	35	0.34472049689441	0.34472049689441	EX-00001
BC25	PBS_2nm	PBS	2	TT31	1	505	137	68	217	14	69	0.42970297029703	0.271287128712871	PBS
BC27	CR4148_2nm	CR4148	2	TT31	1	568	174	91	215	24	64	0.378521126760563	0.306338028169014	4148
BC29	CR4150_2nm	CR4150	2	TT31	1	1494	484	207	559	41	203	0.374163319946452	0.323962516733601	4150
BC30	CR4151_2nm	CR4151	2	TT31	1	174	49	45	59	3	18	0.339080459770115	0.281609195402299	4151
BC31	CR4152_2nm	CR4152	2	TT31	1	141	54	18	51	4	14	0.361702127659574	0.382978723404255	4152
BC32	EX-00001_2nm	EX-00001	2	TT31	1	284	98	38	106	6	36	0.373239436619718	0.345070422535211	EX-00001
BC33	EX-00001_2000nm	EX-00001	2000	TT31	1	423	131	66	171	6	49	0.404255319148936	0.309692671394799	EX-00001
BC35	CR4154_2000nm	CR4154	2000	TT31	1	6579	956	977	3363	119	1164	0.511171910624715	0.1453108375133	4154
BC39	PBS_2000nm	PBS	2000	TT31	1	785	245	126	289	29	96	0.368152866242038	0.312101910828025	PBS
BC41	EX-00001_200nm	EX-00001	200	TT31	1	273	95	28	114	7	29	0.417582417582418	0.347985347985348	EX-00001
BC43	CR4154_200nm	CR4154	200	TT31	1	2615	692	268	1221	43	391	0.466921606118547	0.264627151051625	4154
BC47	PBS_200nm	PBS	200	TT31	1	470	158	48	181	18	65	0.385106382978723	0.336170212765957	PBS
BC49	EX-00001_20nm	EX-00001	20	TT31	1	255	79	28	106	10	32	0.415686274509804	0.309803921568627	EX-00001
BC51	CR4154_20nm	CR4154	20	TT31	1	265	89	27	109	6	34	0.411320754716981	0.335849056603774	4154
BC55	PBS_20nm	PBS	20	TT31	1	357	116	46	140	14	41	0.392156862745098	0.324929971988796	PBS
BC57	EX-00001_2nm	EX-00001	2	TT31	1	152	46	12	60	11	23	0.394736842105263	0.302631578947368	EX-00001
BC59	CR4154_2nm	CR4154	2	TT31	1	284	97	31	113	11	32	0.397887323943662	0.341549295774648	4154
BC63	PBS_2nm	PBS	2	TT31	1	144	54	23	48	5	14	0.333333333333333	0.375	PBS
BC66	CR4148_2000nm	CR4148	2000	TT31	1	248	66	29	106	4	43	0.42741935483871	0.266129032258065	4148
BC68	CR4150_2000nm	CR4150	2000	TT31	1	332	66	46	160	7	53	0.481927710843373	0.198795180722892	4150
BC69	CR4151_2000nm	CR4151	2000	TT31	1	270	55	25	148	2	40	0.548148148148148	0.203703703703704	4151
BC70	CR4152_2000nm	CR4152	2000	TT31	1	228	39	33	124	3	29	0.543859649122807	0.171052631578947	4152
BC74	CR4148_200nm	CR4148	200	TT31	1	247	71	19	119	2	36	0.481781376518219	0.287449392712551	4148
BC76	CR4150_200nm	CR4150	200	TT31	1	1927	533	175	925	37	257	0.480020757654385	0.276595744680851	4150
BC77	CR4151_200nm	CR4151	200	TT31	1	1314	375	137	601	20	181	0.45738203957382	0.285388127853881	4151
BC78	CR4152_200nm	CR4152	200	TT31	1	496	127	54	232	15	68	0.467741935483871	0.256048387096774	4152
BC82	CR4148_20nm	CR4148	20	TT31	1	134	46	23	44	3	18	0.328358208955224	0.343283582089552	4148
BC84	CR4150_20nm	CR4150	20	TT31	1	275	66	41	122	4	42	0.443636363636364	0.24	4150
BC85	CR4151_20nm	CR4151	20	TT31	1	569	182	68	225	21	73	0.395430579964851	0.319859402460457	4151
BC86	CR4152_20nm	CR4152	20	TT31	1	659	220	69	259	15	96	0.393019726858877	0.333839150227618	4152
BC90	CR4148_2nm	CR4148	2	TT31	1	316	113	45	116	14	28	0.367088607594937	0.357594936708861	4148
BC92	CR4150_2nm	CR4150	2	TT31	1	125	30	19	57	6	13	0.456	0.24	4150
BC93	CR4151_2nm	CR4151	2	TT31	1	927	285	126	366	25	125	0.394822006472492	0.307443365695793	4151
BC94	CR4152_2nm	CR4152	2	TT31	1	998	329	130	369	32	138	0.369739478957916	0.329659318637275	4152
BC01	PBS_2000nm	PBS	2000	TT33	sara	1502	468	259	530	101	144	0.352862849533955	0.311584553928096	PBS
BC09	PBS_200nm	PBS	200	TT33	sara	293	42	90	99	19	43	0.337883959044369	0.143344709897611	PBS
BC16	EX-00001_200nm	EX-00001	200	TT33	sara	248	77	39	97	15	20	0.391129032258065	0.310483870967742	EX-00001
BC17	PBS_20nm	PBS	20	TT33	sara	589	86	172	232	53	46	0.393887945670628	0.146010186757216	PBS
BC24	EX-00001_20nm	EX-00001	20	TT33	sara	227	45	66	76	18	22	0.334801762114537	0.198237885462555	EX-00001
BC25	PBS_2nm	PBS	2	TT33	sara	1277	150	455	433	116	123	0.339075959279561	0.117462803445576	PBS
BC32	EX-00001_2nm	EX-00001	2	TT33	sara	417	68	137	135	31	46	0.323741007194245	0.163069544364508	EX-00001
BC39	PBS_2000nm	PBS	2000	TT33	sara	824	237	113	375	38	61	0.455097087378641	0.287621359223301	PBS
BC47	PBS_200nm	PBS	200	TT33	sara	225	73	33	91	14	14	0.404444444444444	0.324444444444444	PBS
BC55	PBS_20nm	PBS	20	TT33	sara	141	30	35	55	12	9	0.390070921985816	0.212765957446809	PBS
BC01	PBS_2000nm	PBS	2000	TT34	megan	2614	785	372	1006	98	353	0.384850803366488	0.300306044376435	PBS
BC02	CR4151_2000nm	CR4151	2000	TT34	megan	369	51	55	192	8	63	0.520325203252033	0.138211382113821	4151
BC03	CR4152_2000nm	CR4152	2000	TT34	megan	233	22	82	81	20	28	0.347639484978541	0.0944206008583691	4152
BC07	CR4174_2000nm	CR4174	2000	TT34	megan	410	51	83	214	13	49	0.521951219512195	0.124390243902439	4174
BC09	PBS_200nm	PBS	200	TT34	megan	1212	378	167	491	43	133	0.405115511551155	0.311881188118812	PBS
BC10	CR4151_200nm	CR4151	200	TT34	megan	752	166	108	338	24	116	0.449468085106383	0.220744680851064	4151
BC11	CR4152_200nm	CR4152	200	TT34	megan	1354	311	209	604	45	185	0.446085672082718	0.229689807976366	4152
BC15	CR4174_200nm	CR4174	200	TT34	megan	1303	205	182	651	41	224	0.499616270145817	0.157329240214889	4174
BC16	EX-00001_200nm	EX-00001	200	TT34	megan	877	266	138	331	31	111	0.377423033067275	0.303306727480046	EX-00001
BC17	PBS_20nm	PBS	20	TT34	megan	540	154	66	226	22	72	0.418518518518519	0.285185185185185	PBS
BC18	CR4151_20nm	CR4151	20	TT34	megan	2012	549	260	834	72	297	0.414512922465209	0.27286282306163	4151
BC19	CR4152_20nm	CR4152	20	TT34	megan	1244	379	159	502	49	155	0.403536977491961	0.304662379421222	4152
BC23	CR4174_20nm	CR4174	20	TT34	megan	4639	1153	723	1977	183	603	0.426169433067471	0.248544945031257	4174
BC24	EX-00001_20nm	EX-00001	20	TT34	megan	417	101	83	167	17	49	0.400479616306954	0.24220623501199	EX-00001
BC25	PBS_2nm	PBS	2	TT34	megan	1170	315	189	489	59	118	0.417948717948718	0.269230769230769	PBS
BC26	CR4151_2nm	CR4151	2	TT34	megan	2301	546	499	836	119	301	0.363320295523685	0.23728813559322	4151
BC27	CR4152_2nm	CR4152	2	TT34	megan	951	296	114	381	31	129	0.400630914826498	0.311251314405889	4152
BC31	CR4174_2nm	CR4174	2	TT34	megan	412	122	42	182	21	45	0.441747572815534	0.296116504854369	4174
BC32	EX-00001_2nm	EX-00001	2	TT34	megan	795	232	110	317	37	99	0.39874213836478	0.291823899371069	EX-00001
BC36	CR4151_2000nm	CR4151	2000	TT34	megan	680	97	103	349	18	113	0.513235294117647	0.142647058823529	4151
BC37	CR4152_2000nm	CR4152	2000	TT34	megan	428	64	65	223	13	63	0.521028037383178	0.149532710280374	4152
BC39	PBS_2000nm	PBS	2000	TT34	megan	1122	335	177	406	46	158	0.361853832442068	0.298573975044563	PBS
BC44	CR4151_200nm	CR4151	200	TT34	megan	2566	595	299	1168	93	411	0.455183164458301	0.231878409976617	4151
BC45	CR4152_200nm	CR4152	200	TT34	megan	898	224	114	388	25	147	0.432071269487751	0.249443207126949	4152
BC47	PBS_200nm	PBS	200	TT34	megan	892	226	137	375	38	116	0.420403587443946	0.253363228699552	PBS
BC52	CR4151_20nm	CR4151	20	TT34	megan	897	246	161	335	47	108	0.373467112597547	0.274247491638796	4151
BC53	CR4152_20nm	CR4152	20	TT34	megan	1675	455	256	645	71	248	0.385074626865672	0.271641791044776	4152
BC55	PBS_20nm	PBS	20	TT34	megan	620	173	123	224	31	69	0.361290322580645	0.279032258064516	PBS
BC60	CR4151_2nm	CR4151	2	TT34	megan	1213	331	232	454	63	133	0.374278647980214	0.272877164056059	4151
BC61	CR4152_2nm	CR4152	2	TT34	megan	1672	483	227	659	78	225	0.394138755980861	0.288875598086124	4152
BC63	PBS_2nm	PBS	2	TT34	megan	256	72	52	83	11	38	0.32421875	0.28125	PBS
BC68	CR4174_2000nm	CR4174	2000	TT34	megan	610	69	104	331	14	92	0.542622950819672	0.113114754098361	4174
BC76	CR4174_200nm	CR4174	200	TT34	megan	3371	573	492	1677	99	530	0.497478493028775	0.169979234648472	4174
BC84	CR4174_20nm	CR4174	20	TT34	megan	495	125	82	199	19	70	0.402020202020202	0.252525252525253	4174
BC92	CR4174_2nm	CR4174	2	TT34	megan	187	62	27	73	4	21	0.390374331550802	0.331550802139037	4174
