ASO	barcode	sample_name	Dose	experiment	plate	total	dIRE1	Other_dIRE	IRE	dIRE1_altTSS	dIRE2	ire_ov_total	dire1_ov_total	treatment
CR-AA-02332	BC38	CR2332_2000nm_2	2000	TT21	1	1556	207	113	942	18	276	0.605398457583548	0.133033419023136	2332
CR-AA-02333	BC39	CR2333_2000nm_2	2000	TT21	1	3004	391	229	1747	34	603	0.58155792276964	0.130159786950732	2333
CR-EX-00001	BC41	EX-00001_200nm_2	200	TT21	1	1712	528	57	885	51	191	0.516939252336449	0.308411214953271	EX-00001
CR-AA-02327	BC43	CR2327_200nm_2	200	TT21	1	13323	2552	438	8709	165	1459	0.653681603242513	0.191548450048788	2327
CR-AA-02331	BC45	CR2331_200nm_2	200	TT21	1	2276	466	93	1357	41	319	0.59622144112478	0.204745166959578	2331
CR-AA-02332	BC46	CR2332_200nm_2	200	TT21	1	1519	323	107	832	25	232	0.547728768926926	0.212639894667544	2332
CR-AA-02333	BC47	CR2333_200nm_2	200	TT21	1	4023	636	356	2205	53	773	0.548098434004474	0.158090976882923	2333
CR-EX-00001	BC49	EX-00001_20nm_2	20	TT21	1	1462	441	69	747	29	176	0.5109439124487	0.301641586867305	EX-00001
CR-AA-02327	BC51	CR2327_20nm_2	20	TT21	1	2042	420	101	1173	54	294	0.574436826640549	0.205680705190989	2327
CR-AA-02331	BC53	CR2331_20nm_2	20	TT21	1	6696	1725	354	3546	116	955	0.529569892473118	0.257616487455197	2331
CR-AA-02332	BC54	CR2332_20nm_2	20	TT21	1	11882	3170	720	6031	292	1669	0.507574482410369	0.266790102676317	2332
CR-AA-02333	BC55	CR2333_20nm_2	20	TT21	1	3223	815	235	1606	84	483	0.498293515358362	0.252869996897301	2333
CR-EX-00001	BC57	EX-00001_2nm_2	2	TT21	1	995	315	36	503	28	113	0.505527638190955	0.316582914572864	EX-00001
CR-AA-02327	BC59	CR2327_2nm_2	2	TT21	1	2164	533	144	1154	66	267	0.533271719038817	0.24630314232902	2327
CR-AA-02331	BC61	CR2331_2nm_2	2	TT21	1	6422	1729	392	3279	147	875	0.510588601681719	0.269230769230769	2331
CR-AA-02332	BC62	CR2332_2nm_2	2	TT21	1	6115	1746	405	3132	158	674	0.512183156173344	0.285527391659853	2332
CR-AA-02333	BC63	CR2333_2nm_2	2	TT21	1	1278	361	89	613	43	172	0.479655712050078	0.282472613458529	2333
PBS	BC01	PBS_2000nm_	2000	TT21	2	7769	2181	523	3456	164	1445	0.444844896383061	0.280731110825074	PBS
CR-EX-00001	BC08	EX-00001_2000nm_	2000	TT21	2	1004	269	73	477	30	155	0.475099601593626	0.26792828685259	EX-00001
PBS	BC09	PBS_200nm_	200	TT21	2	3334	990	215	1529	107	493	0.458608278344331	0.296940611877624	PBS
CR-EX-00001	BC16	EX-00001_200nm_	200	TT21	2	3436	1044	190	1633	96	473	0.475261932479627	0.30384167636787	EX-00001
PBS	BC17	PBS_20nm_	20	TT21	2	3976	1106	253	1875	101	641	0.471579476861167	0.278169014084507	PBS
CR-EX-00001	BC24	EX-00001_20nm_	20	TT21	2	2780	813	167	1272	83	445	0.457553956834532	0.292446043165468	EX-00001
PBS	BC25	PBS_2nm_	2	TT21	2	3571	903	247	1796	75	550	0.502940352842341	0.252870344441333	PBS
CR-EX-00001	BC32	EX-00001_2nm_	2	TT21	2	4765	1384	291	2272	111	707	0.476810073452256	0.290451206715635	EX-00001
CR-EX-00001	BC33	EX-00001_2000nm_	2000	TT21	2	3905	1232	206	1741	94	632	0.44583866837388	0.315492957746479	EX-00001
PBS	BC39	PBS_2000nm_	2000	TT21	2	8651	2452	585	3904	248	1462	0.451277308981621	0.283435440989481	PBS
CR-EX-00001	BC41	EX-00001_200nm_	200	TT21	2	2555	752	129	1262	57	355	0.493933463796478	0.294324853228963	EX-00001
PBS	BC47	PBS_200nm_	200	TT21	2	8126	2407	612	3638	251	1218	0.447698744769874	0.296209697268029	PBS
CR-EX-00001	BC49	EX-00001_20nm_	20	TT21	2	2533	720	154	1215	63	381	0.479668377418081	0.284247927358863	EX-00001
PBS	BC55	PBS_20nm_	20	TT21	2	5731	1716	353	2599	146	917	0.453498516838248	0.299424184261036	PBS
CR-EX-00001	BC57	EX-00001_2nm_	2	TT21	2	1817	489	159	813	55	301	0.447440836543753	0.269124931205283	EX-00001
PBS	BC63	PBS_2nm_	2	TT21	2	2126	633	154	934	69	336	0.439322671683913	0.297742238946378	PBS
PBS	BC65	PBS_2000nm_	2000	TT21	2	1645	474	116	737	50	268	0.448024316109423	0.288145896656535	PBS
PBS	BC73	PBS_200nm_	200	TT21	2	6772	1833	470	3108	160	1201	0.458948611931483	0.270673360897815	PBS
PBS	BC81	PBS_20nm_	20	TT21	2	15975	2768	2205	8068	368	2566	0.505039123630673	0.173270735524257	PBS
PBS	BC89	PBS_2nm_	2	TT21	2	2704	484	352	1331	67	470	0.492233727810651	0.178994082840237	PBS
CR-AA-02331	BC18	CR2331_20nm	20	TT25	megan	127	26	12	62	4	23	0.488188976377953	0.204724409448819	2331
PBS	BC25	PBS_2nm	2	TT25	megan	206	56	10	119	2	19	0.577669902912621	0.271844660194175	PBS
CR-AA-02333	BC37	CR2333_2000nm	2000	TT25	megan	315	41	29	208	2	35	0.66031746031746	0.13015873015873	2333
PBS	BC39	PBS_2000nm	2000	TT25	megan	452	140	49	194	13	56	0.429203539823009	0.309734513274336	PBS
CR-AA-02331	BC44	CR2331_200nm	200	TT25	megan	193	40	22	82	6	43	0.424870466321244	0.207253886010363	2331
CR-AA-02333	BC45	CR2333_200nm	200	TT25	megan	187	32	23	98	1	33	0.524064171122995	0.171122994652406	2333
PBS	BC47	PBS_200nm	200	TT25	megan	593	202	41	257	13	80	0.433389544688027	0.340640809443508	PBS
CR-AA-02331	BC52	CR2331_20nm	20	TT25	megan	264	46	44	129	6	39	0.488636363636364	0.174242424242424	2331
CR-AA-02333	BC53	CR2333_20nm	20	TT25	megan	873	250	102	378	19	124	0.43298969072165	0.286368843069874	2333
PBS	BC55	PBS_20nm	20	TT25	megan	503	144	85	199	14	61	0.395626242544732	0.286282306163022	PBS
CR-AA-02331	BC60	CR2331_2nm	2	TT25	megan	261	55	34	125	10	37	0.478927203065134	0.210727969348659	2331
CR-AA-02333	BC61	CR2333_2nm	2	TT25	megan	822	245	106	344	15	112	0.418491484184915	0.298053527980535	2333
PBS	BC63	PBS_2nm	2	TT25	megan	135	40	15	61	0	19	0.451851851851852	0.296296296296296	PBS
PBS	BC01	PBS_2000nm	2000	TT25	sara	413	116	45	189	6	57	0.457627118644068	0.280871670702179	PBS
CR-AA-02331	BC02	CR2331_2000nm	2000	TT25	sara	630	124	40	368	5	93	0.584126984126984	0.196825396825397	2331
CR-AA-02333	BC03	CR2333_2000nm	2000	TT25	sara	118	21	10	67	3	17	0.567796610169492	0.177966101694915	2333
CR-EX-00001	BC08	EX-00001_2000nm	2000	TT25	sara	325	105	28	145	14	33	0.446153846153846	0.323076923076923	EX-00001
PBS	BC09	PBS_200nm	200	TT25	sara	489	185	34	202	20	48	0.413087934560327	0.378323108384458	PBS
CR-AA-02333	BC11	CR2333_200nm	200	TT25	sara	233	40	26	133	7	27	0.570815450643777	0.171673819742489	2333
CR-EX-00001	BC16	EX-00001_200nm	200	TT25	sara	459	170	32	192	13	52	0.418300653594771	0.37037037037037	EX-00001
PBS	BC17	PBS_20nm	20	TT25	sara	436	143	28	199	13	53	0.456422018348624	0.327981651376147	PBS
CR-AA-02331	BC18	CR2331_20nm	20	TT25	sara	2551	696	195	1281	52	327	0.502156017248138	0.272834182673461	2331
CR-AA-02333	BC19	CR2333_20nm	20	TT25	sara	544	146	42	275	10	71	0.505514705882353	0.268382352941176	2333
CR-EX-00001	BC24	EX-00001_20nm	20	TT25	sara	743	246	57	328	23	89	0.441453566621804	0.331090174966353	EX-00001
PBS	BC25	PBS_2nm	2	TT25	sara	971	261	78	509	17	106	0.524201853759011	0.268795056642636	PBS
CR-AA-02331	BC26	CR2331_2nm	2	TT25	sara	203	30	37	111	3	22	0.54679802955665	0.147783251231527	2331
CR-AA-02333	BC27	CR2333_2nm	2	TT25	sara	234	59	33	109	10	23	0.465811965811966	0.252136752136752	2333
CR-EX-00001	BC32	EX-00001_2nm	2	TT25	sara	1820	627	195	730	60	208	0.401098901098901	0.344505494505495	EX-00001
CR-EX-00001	BC33	EX-00001_2000nm	2000	TT25	sara	345	101	35	165	8	36	0.478260869565217	0.292753623188406	EX-00001
CR-AA-02331	BC36	CR2331_2000nm	2000	TT25	sara	142	32	15	71	3	21	0.5	0.225352112676056	2331
CR-AA-02333	BC37	CR2333_2000nm	2000	TT25	sara	152	32	10	81	5	24	0.532894736842105	0.210526315789474	2333
PBS	BC39	PBS_2000nm	2000	TT25	sara	473	145	70	184	18	56	0.389006342494715	0.306553911205074	PBS
CR-EX-00001	BC41	EX-00001_200nm	200	TT25	sara	315	92	32	154	7	30	0.488888888888889	0.292063492063492	EX-00001
CR-AA-02331	BC44	CR2331_200nm	200	TT25	sara	861	260	65	361	28	147	0.419279907084785	0.301974448315912	2331
CR-AA-02333	BC45	CR2333_200nm	200	TT25	sara	677	133	78	365	10	91	0.539143279172821	0.196454948301329	2333
PBS	BC47	PBS_200nm	200	TT25	sara	1160	400	116	473	42	129	0.407758620689655	0.344827586206897	PBS
CR-EX-00001	BC49	EX-00001_20nm	20	TT25	sara	404	121	38	174	9	62	0.430693069306931	0.299504950495049	EX-00001
CR-AA-02331	BC52	CR2331_20nm	20	TT25	sara	697	148	88	346	21	94	0.496413199426112	0.212338593974175	2331
CR-AA-02333	BC53	CR2333_20nm	20	TT25	sara	917	261	96	412	25	123	0.449291166848419	0.284623773173391	2333
PBS	BC55	PBS_20nm	20	TT25	sara	621	196	80	245	26	74	0.394524959742351	0.315619967793881	PBS
CR-EX-00001	BC57	EX-00001_2nm	2	TT25	sara	281	88	32	124	8	29	0.441281138790036	0.313167259786477	EX-00001
CR-AA-02331	BC60	CR2331_2nm	2	TT25	sara	695	223	80	293	22	77	0.42158273381295	0.320863309352518	2331
CR-AA-02333	BC61	CR2333_2nm	2	TT25	sara	2118	667	265	849	73	264	0.400849858356941	0.314919735599622	2333
PBS	BC63	PBS_2nm	2	TT25	sara	1319	433	151	515	39	181	0.390447308567096	0.32827899924185	PBS
PBS	BC65	PBS_2000nm	2000	TT25	sara	211	59	25	96	7	24	0.454976303317536	0.279620853080569	PBS
PBS	BC73	PBS_200nm	200	TT25	sara	455	154	54	180	16	51	0.395604395604396	0.338461538461538	PBS
PBS	BC81	PBS_20nm	20	TT25	sara	733	178	127	306	24	98	0.417462482946794	0.242837653478854	PBS
PBS	BC89	PBS_2nm	2	TT25	sara	818	267	67	359	24	101	0.438875305623472	0.32640586797066	PBS
PBS	BC01	PBS_2000nm	2000	TT26	megan	124	38	12	59	3	12	0.475806451612903	0.306451612903226	PBS
PBS	BC09	PBS_200nm	200	TT26	megan	112	32	9	56	2	13	0.5	0.285714285714286	PBS
CR-EX-00001	BC16	EX-00001_200nm	200	TT26	megan	113	43	10	44	4	12	0.389380530973451	0.380530973451327	EX-00001
PBS	BC17	PBS_20nm	20	TT26	megan	106	34	10	47	2	13	0.443396226415094	0.320754716981132	PBS
PBS	BC25	PBS_2nm	2	TT26	megan	198	67	22	88	3	18	0.444444444444444	0.338383838383838	PBS
PBS	BC39	PBS_2000nm	2000	TT26	megan	277	90	29	117	9	32	0.422382671480144	0.324909747292419	PBS
PBS	BC47	PBS_200nm	200	TT26	megan	377	125	45	149	8	50	0.395225464190981	0.331564986737401	PBS
PBS	BC55	PBS_20nm	20	TT26	megan	222	62	32	96	9	23	0.432432432432432	0.279279279279279	PBS
PBS	BC63	PBS_2nm	2	TT26	megan	214	76	23	91	8	16	0.425233644859813	0.355140186915888	PBS
PBS	BC09	PBS_200nm	200	TT26	sara	222	34	21	133	4	30	0.599099099099099	0.153153153153153	PBS
PBS	BC17	PBS_20nm	20	TT26	sara	859	292	67	367	31	102	0.427240977881257	0.339930151338766	PBS
PBS	BC25	PBS_2nm	2	TT26	sara	383	127	27	174	7	48	0.454308093994778	0.331592689295039	PBS
PBS	BC39	PBS_2000nm	2000	TT26	sara	176	57	20	76	3	20	0.431818181818182	0.323863636363636	PBS
CR-EX-00001	BC41	EX-00001_200nm	200	TT26	sara	143	14	34	71	3	21	0.496503496503497	0.0979020979020979	EX-00001
PBS	BC47	PBS_200nm	200	TT26	sara	283	100	27	118	9	29	0.416961130742049	0.353356890459364	PBS
CR-EX-00001	BC49	EX-00001_20nm	20	TT26	sara	302	89	35	128	8	42	0.423841059602649	0.294701986754967	EX-00001
CR-EX-00001	BC57	EX-00001_2nm	2	TT26	sara	101	35	11	43	2	10	0.425742574257426	0.346534653465347	EX-00001
PBS	BC09	PBS_200nm	200	TT27	sara	443	116	58	192	9	68	0.433408577878104	0.261851015801354	PBS
PBS	BC25	PBS_2nm	2	TT27	sara	181	40	15	109	3	14	0.602209944751381	0.220994475138122	PBS
CR-EX-00001	BC33	EX-00001_2000nm	2000	TT27	sara	141	39	18	62	7	15	0.439716312056738	0.276595744680851	EX-00001
CR-EX-00001	BC41	EX-00001_200nm	200	TT27	sara	115	35	18	42	4	16	0.365217391304348	0.304347826086957	EX-00001
PBS	BC55	PBS_20nm	20	TT27	sara	217	48	30	96	6	37	0.442396313364055	0.221198156682028	PBS
PBS	BC81	PBS_20nm	20	TT27	sara	129	35	22	54	2	16	0.418604651162791	0.271317829457364	PBS
PBS	BC01	PBS_2000nm	2000	TT29	megan	1818	630	173	736	64	215	0.404840484048405	0.346534653465347	PBS
PBS	BC09	PBS_200nm	200	TT29	megan	1092	396	109	409	43	135	0.374542124542125	0.362637362637363	PBS
CR-EX-00001	BC16	EX-00001_200nm	200	TT29	megan	1320	406	174	524	58	158	0.396969696969697	0.307575757575758	EX-00001
PBS	BC17	PBS_20nm	20	TT29	megan	391	128	40	165	6	52	0.421994884910486	0.327365728900256	PBS
CR-EX-00001	BC24	EX-00001_20nm	20	TT29	megan	506	188	44	192	25	57	0.379446640316206	0.371541501976285	EX-00001
PBS	BC25	PBS_2nm	2	TT29	megan	917	267	73	418	32	127	0.455834242093784	0.291166848418757	PBS
CR-EX-00001	BC32	EX-00001_2nm	2	TT29	megan	744	257	74	286	32	95	0.384408602150538	0.345430107526882	EX-00001
CR-EX-00001	BC33	EX-00001_2000nm	2000	TT29	megan	628	216	62	262	28	60	0.417197452229299	0.343949044585987	EX-00001
PBS	BC39	PBS_2000nm	2000	TT29	megan	2636	896	248	1067	99	326	0.404779969650986	0.339908952959029	PBS
CR-EX-00001	BC41	EX-00001_200nm	200	TT29	megan	544	202	34	202	31	75	0.371323529411765	0.371323529411765	EX-00001
PBS	BC47	PBS_200nm	200	TT29	megan	1487	484	142	585	96	180	0.393409549428379	0.325487558843309	PBS
CR-EX-00001	BC49	EX-00001_20nm	20	TT29	megan	428	145	32	164	19	68	0.383177570093458	0.338785046728972	EX-00001
PBS	BC55	PBS_20nm	20	TT29	megan	959	341	108	374	32	104	0.389989572471324	0.355578727841502	PBS
CR-EX-00001	BC57	EX-00001_2nm	2	TT29	megan	438	157	25	195	16	45	0.445205479452055	0.358447488584475	EX-00001
PBS	BC63	PBS_2nm	2	TT29	megan	475	168	54	183	24	46	0.385263157894737	0.353684210526316	PBS
PBS	BC65	PBS_2000nm	2000	TT29	megan	293	97	26	124	15	31	0.42320819112628	0.331058020477816	PBS
PBS	BC73	PBS_200nm	200	TT29	megan	1504	513	102	622	53	214	0.413563829787234	0.341090425531915	PBS
PBS	BC81	PBS_20nm	20	TT29	megan	5127	1679	504	2076	206	662	0.404915155061439	0.327481958260191	PBS
PBS	BC89	PBS_2nm	2	TT29	megan	299	118	22	100	12	47	0.334448160535117	0.394648829431438	PBS
PBS	BC01	PBS_2000nm	2000	TT29	sara	1145	330	166	460	43	146	0.40174672489083	0.2882096069869	PBS
PBS	BC09	PBS_200nm	200	TT29	sara	580	161	88	230	29	72	0.396551724137931	0.277586206896552	PBS
CR-EX-00001	BC16	EX-00001_200nm	200	TT29	sara	669	210	106	259	26	68	0.387144992526158	0.31390134529148	EX-00001
PBS	BC17	PBS_20nm	20	TT29	sara	499	161	62	216	15	45	0.432865731462926	0.322645290581162	PBS
CR-EX-00001	BC24	EX-00001_20nm	20	TT29	sara	392	121	51	158	20	42	0.403061224489796	0.308673469387755	EX-00001
PBS	BC25	PBS_2nm	2	TT29	sara	881	230	103	391	35	122	0.443813847900114	0.261066969353008	PBS
CR-EX-00001	BC33	EX-00001_2000nm	2000	TT29	sara	591	208	71	235	18	59	0.397631133671743	0.351945854483926	EX-00001
PBS	BC39	PBS_2000nm	2000	TT29	sara	367	90	89	130	23	35	0.354223433242507	0.245231607629428	PBS
CR-EX-00001	BC41	EX-00001_200nm	200	TT29	sara	207	51	42	81	11	22	0.391304347826087	0.246376811594203	EX-00001
PBS	BC47	PBS_200nm	200	TT29	sara	869	258	145	330	31	105	0.379746835443038	0.296892980437284	PBS
CR-EX-00001	BC49	EX-00001_20nm	20	TT29	sara	544	208	75	185	15	61	0.340073529411765	0.382352941176471	EX-00001
PBS	BC55	PBS_20nm	20	TT29	sara	907	286	118	363	27	113	0.400220507166483	0.315325248070562	PBS
CR-EX-00001	BC57	EX-00001_2nm	2	TT29	sara	354	121	43	127	17	46	0.358757062146893	0.34180790960452	EX-00001
PBS	BC63	PBS_2nm	2	TT29	sara	163	43	26	71	5	18	0.43558282208589	0.263803680981595	PBS
PBS	BC65	PBS_2000nm	2000	TT29	sara	286	91	36	110	11	38	0.384615384615385	0.318181818181818	PBS
PBS	BC73	PBS_200nm	200	TT29	sara	1310	461	134	492	62	161	0.375572519083969	0.351908396946565	PBS
PBS	BC81	PBS_20nm	20	TT29	sara	6232	1870	806	2519	277	760	0.404204107830552	0.300064184852375	PBS
PBS	BC89	PBS_2nm	2	TT29	sara	693	231	79	270	28	85	0.38961038961039	0.333333333333333	PBS
PBS	BC01	PBS_2000nm	2000	TT30	1	550	171	100	186	25	68	0.338181818181818	0.310909090909091	PBS
PBS	BC09	PBS_200nm	200	TT30	1	235	57	47	89	12	30	0.378723404255319	0.242553191489362	PBS
CR-EX-00001	BC16	EX-00001_200nm	200	TT30	1	287	73	63	112	14	25	0.390243902439024	0.254355400696864	EX-00001
PBS	BC17	PBS_20nm	20	TT30	1	169	62	20	57	4	26	0.337278106508876	0.366863905325444	PBS
CR-EX-00001	BC24	EX-00001_20nm	20	TT30	1	117	29	27	41	8	12	0.35042735042735	0.247863247863248	EX-00001
PBS	BC25	PBS_2nm	2	TT30	1	414	79	108	148	24	55	0.357487922705314	0.190821256038647	PBS
CR-EX-00001	BC32	EX-00001_2nm	2	TT30	1	169	34	29	77	9	20	0.455621301775148	0.201183431952663	EX-00001
CR-EX-00001	BC33	EX-00001_2000nm	2000	TT30	1	156	32	28	60	11	25	0.384615384615385	0.205128205128205	EX-00001
PBS	BC39	PBS_2000nm	2000	TT30	1	431	108	87	169	20	47	0.392111368909513	0.250580046403712	PBS
CR-EX-00001	BC41	EX-00001_200nm	200	TT30	1	121	27	32	44	6	12	0.363636363636364	0.223140495867769	EX-00001
PBS	BC47	PBS_200nm	200	TT30	1	281	63	62	100	16	40	0.355871886120996	0.224199288256228	PBS
CR-EX-00001	BC49	EX-00001_20nm	20	TT30	1	110	26	31	34	5	14	0.309090909090909	0.236363636363636	EX-00001
PBS	BC55	PBS_20nm	20	TT30	1	131	22	43	43	9	14	0.32824427480916	0.16793893129771	PBS
PBS	BC63	PBS_2nm	2	TT30	1	102	25	19	37	4	17	0.362745098039216	0.245098039215686	PBS
PBS	BC73	PBS_200nm	200	TT30	1	250	80	42	98	9	21	0.392	0.32	PBS
PBS	BC81	PBS_20nm	20	TT30	1	1722	434	357	649	82	200	0.376887340301974	0.252032520325203	PBS
PBS	BC89	PBS_2nm	2	TT30	1	107	30	32	34	3	8	0.317757009345794	0.280373831775701	PBS
PBS	BC01	PBS_2000nm	2000	TT30	2	1087	403	113	394	36	141	0.362465501379945	0.370745170193192	PBS
CR-AA-02327	BC02	CR2327_2000nm	2000	TT30	2	143	30	14	70	4	25	0.48951048951049	0.20979020979021	2327
CR-AA-02331	BC03	CR2331_2000nm	2000	TT30	2	203	47	18	91	3	44	0.448275862068966	0.231527093596059	2331
CR-AA-02333	BC05	CR2333_2000nm	2000	TT30	2	498	86	67	248	4	93	0.497991967871486	0.172690763052209	2333
PBS	BC09	PBS_200nm	200	TT30	2	406	163	41	139	16	47	0.342364532019704	0.401477832512315	PBS
CR-AA-02327	BC10	CR2327_200nm	200	TT30	2	249	57	31	116	6	39	0.465863453815261	0.228915662650602	2327
CR-AA-02331	BC11	CR2331_200nm	200	TT30	2	711	194	73	332	12	100	0.466947960618847	0.272855133614627	2331
CR-AA-02332	BC12	CR2332_200nm	200	TT30	2	669	154	132	265	27	91	0.396113602391629	0.230194319880419	2332
CR-AA-02333	BC13	CR2333_200nm	200	TT30	2	822	166	116	411	22	107	0.5	0.201946472019465	2333
CR-EX-00001	BC16	EX-00001_200nm	200	TT30	2	721	266	77	280	19	79	0.388349514563107	0.368932038834951	EX-00001
PBS	BC17	PBS_20nm	20	TT30	2	201	69	26	74	5	27	0.368159203980099	0.343283582089552	PBS
CR-AA-02327	BC18	CR2327_20nm	20	TT30	2	817	193	79	375	16	154	0.458996328029376	0.236230110159119	2327
CR-AA-02331	BC19	CR2331_20nm	20	TT30	2	577	215	35	228	11	88	0.395147313691508	0.37261698440208	2331
CR-AA-02333	BC21	CR2333_20nm	20	TT30	2	210	63	34	84	0	29	0.4	0.3	2333
CR-EX-00001	BC24	EX-00001_20nm	20	TT30	2	265	85	31	101	13	35	0.381132075471698	0.320754716981132	EX-00001
PBS	BC25	PBS_2nm	2	TT30	2	339	121	36	129	10	43	0.380530973451327	0.35693215339233	PBS
CR-AA-02327	BC26	CR2327_2nm	2	TT30	2	672	244	84	257	11	76	0.382440476190476	0.363095238095238	2327
CR-AA-02331	BC27	CR2331_2nm	2	TT30	2	697	232	58	268	23	116	0.384505021520803	0.332855093256815	2331
CR-AA-02332	BC28	CR2332_2nm	2	TT30	2	578	150	129	211	20	68	0.365051903114187	0.259515570934256	2332
CR-AA-02333	BC29	CR2333_2nm	2	TT30	2	932	315	148	339	34	96	0.363733905579399	0.337982832618026	2333
CR-EX-00001	BC32	EX-00001_2nm	2	TT30	2	356	116	44	143	13	40	0.401685393258427	0.325842696629214	EX-00001
CR-EX-00001	BC33	EX-00001_2000nm	2000	TT30	2	330	108	36	131	11	44	0.396969696969697	0.327272727272727	EX-00001
CR-AA-02327	BC37	CR2327_2000nm	2000	TT30	2	184	68	22	66	4	24	0.358695652173913	0.369565217391304	2327
CR-AA-02331	BC38	CR2331_2000nm	2000	TT30	2	323	76	41	157	5	44	0.486068111455108	0.235294117647059	2331
PBS	BC39	PBS_2000nm	2000	TT30	2	814	291	98	294	25	106	0.361179361179361	0.357493857493857	PBS
CR-EX-00001	BC41	EX-00001_200nm	200	TT30	2	140	45	16	57	5	17	0.407142857142857	0.321428571428571	EX-00001
CR-AA-02327	BC45	CR2327_200nm	200	TT30	2	235	72	36	89	10	28	0.378723404255319	0.306382978723404	2327
CR-AA-02331	BC46	CR2331_200nm	200	TT30	2	133	32	22	50	1	28	0.37593984962406	0.240601503759398	2331
PBS	BC47	PBS_200nm	200	TT30	2	356	116	43	119	15	63	0.334269662921348	0.325842696629214	PBS
CR-EX-00001	BC49	EX-00001_20nm	20	TT30	2	194	75	19	75	8	17	0.38659793814433	0.38659793814433	EX-00001
CR-AA-02327	BC53	CR2327_20nm	20	TT30	2	864	281	124	311	29	119	0.359953703703704	0.325231481481481	2327
CR-AA-02331	BC54	CR2331_20nm	20	TT30	2	844	242	127	324	22	129	0.383886255924171	0.286729857819905	2331
PBS	BC55	PBS_20nm	20	TT30	2	448	166	48	162	12	60	0.361607142857143	0.370535714285714	PBS
CR-AA-02327	BC61	CR2327_2nm	2	TT30	2	432	140	66	145	23	58	0.335648148148148	0.324074074074074	2327
CR-AA-02331	BC62	CR2331_2nm	2	TT30	2	440	165	52	153	18	52	0.347727272727273	0.375	2331
PBS	BC63	PBS_2nm	2	TT30	2	106	31	17	43	1	14	0.405660377358491	0.292452830188679	PBS
PBS	BC65	PBS_2000nm	2000	TT30	2	152	53	19	49	5	26	0.322368421052632	0.348684210526316	PBS
CR-AA-02332	BC66	CR2332_2000nm	2000	TT30	2	240	62	25	112	5	36	0.466666666666667	0.258333333333333	2332
CR-AA-02333	BC67	CR2333_2000nm	2000	TT30	2	549	104	59	284	4	98	0.517304189435337	0.189435336976321	2333
PBS	BC73	PBS_200nm	200	TT30	2	553	208	57	206	8	74	0.37251356238698	0.376130198915009	PBS
CR-AA-02332	BC74	CR2332_200nm	200	TT30	2	164	40	12	90	1	21	0.548780487804878	0.24390243902439	2332
CR-AA-02333	BC75	CR2333_200nm	200	TT30	2	494	100	54	244	7	89	0.493927125506073	0.202429149797571	2333
PBS	BC81	PBS_20nm	20	TT30	2	3260	1063	356	1232	100	509	0.377914110429448	0.326073619631902	PBS
CR-AA-02333	BC83	CR2333_20nm	20	TT30	2	341	128	30	143	9	31	0.419354838709677	0.375366568914956	2333
PBS	BC89	PBS_2nm	2	TT30	2	180	68	16	61	7	28	0.338888888888889	0.377777777777778	PBS
CR-AA-02332	BC90	CR2332_2nm	2	TT30	2	278	107	24	106	8	33	0.381294964028777	0.384892086330935	2332
CR-AA-02333	BC91	CR2333_2nm	2	TT30	2	367	145	19	147	10	46	0.400544959128065	0.395095367847411	2333
PBS	BC01	PBS_2000nm	2000	TT31	1	1780	563	213	716	50	238	0.402247191011236	0.316292134831461	PBS
PBS	BC09	PBS_200nm	200	TT31	1	638	183	108	245	27	75	0.384012539184953	0.286833855799373	PBS
CR-EX-00001	BC16	EX-00001_200nm	200	TT31	1	538	164	97	209	15	53	0.388475836431227	0.304832713754647	EX-00001
PBS	BC17	PBS_20nm	20	TT31	1	437	143	49	184	11	50	0.421052631578947	0.327231121281465	PBS
CR-EX-00001	BC24	EX-00001_20nm	20	TT31	1	322	111	50	111	15	35	0.34472049689441	0.34472049689441	EX-00001
PBS	BC25	PBS_2nm	2	TT31	1	505	137	68	217	14	69	0.42970297029703	0.271287128712871	PBS
CR-EX-00001	BC32	EX-00001_2nm	2	TT31	1	284	98	38	106	6	36	0.373239436619718	0.345070422535211	EX-00001
CR-EX-00001	BC33	EX-00001_2000nm	2000	TT31	1	423	131	66	171	6	49	0.404255319148936	0.309692671394799	EX-00001
PBS	BC39	PBS_2000nm	2000	TT31	1	785	245	126	289	29	96	0.368152866242038	0.312101910828025	PBS
CR-EX-00001	BC41	EX-00001_200nm	200	TT31	1	273	95	28	114	7	29	0.417582417582418	0.347985347985348	EX-00001
PBS	BC47	PBS_200nm	200	TT31	1	470	158	48	181	18	65	0.385106382978723	0.336170212765957	PBS
CR-EX-00001	BC49	EX-00001_20nm	20	TT31	1	255	79	28	106	10	32	0.415686274509804	0.309803921568627	EX-00001
PBS	BC55	PBS_20nm	20	TT31	1	357	116	46	140	14	41	0.392156862745098	0.324929971988796	PBS
CR-EX-00001	BC57	EX-00001_2nm	2	TT31	1	152	46	12	60	11	23	0.394736842105263	0.302631578947368	EX-00001
PBS	BC63	PBS_2nm	2	TT31	1	144	54	23	48	5	14	0.333333333333333	0.375	PBS
PBS	BC01	PBS_2000nm	2000	TT33	sara	1502	468	259	530	101	144	0.352862849533955	0.311584553928096	PBS
PBS	BC09	PBS_200nm	200	TT33	sara	293	42	90	99	19	43	0.337883959044369	0.143344709897611	PBS
CR-EX-00001	BC16	EX-00001_200nm	200	TT33	sara	248	77	39	97	15	20	0.391129032258065	0.310483870967742	EX-00001
